R,Sel,Date,Month,Day,Year,Composition,Composed,Event,Venue,Street,City,State,ZIP,Performers,Conductor,Image,Notes,Extra
Y,,11/4/11,11,4,2011,a thing of dream and mist,2011,Third Practice Electroacoustic Music Festival,Camp Concert Hall ,,Richmond,VA,,"Zach Herchen, soprano saxophone",,zachherchen.jpg,,
N,,10/13/11,10,13,2011,the resonance after...,2008,Eastman Composers' Forum,Kilbourn Hall,,Rochester,NY,,Eastman Chamber Ensemble,Jason Thorpe Buchanan,,"Sarah Winstein-Hibbs, flute; Madison Greenstone, clarinet/bass clarinet; Molly Werts, violin; Samuel Pierce-Ruhland, cello; Emily Park, percussion; Ada Jeon, piano","Sarah Winstein-Hibbs, flute; Madison Greenstone, clarinet/bass clarinet; Molly Werts, violin; Samuel Pierce-Ruhland, cello; Emily Park, percussion; Ada Jeon, piano"
Y,S,5/9/11,5,9,2011,Shifts,2010,Young and Emerging Composer Series,The Music Settlement,,Cleveland,OH,,Cleveland Chamber Symphony,Steven Smith,ccsverb.jpg,,
Y,,1/20/11,1,20,2011,The Spark of Opposites,2009,SEAMUS 2011,Victor E. Clarke Recital Hall,,Coral Gables,FL,,"Madeleine Shapiro, cello",,madeleineshapiro.jpg,,
,,2010,,,,,,,,,,,,,,,,
Y,S,12/13/10,12,13,2010,the resonance after...,2008,Pieces of Eight,Galapagos Art Space,,Brooklyn,NY,,American Modern Ensemble,Robert Patterson,amegroup.jpg,,
Y,,11/5/10,11,5,2010,Doppelganger,2010,Third Practice Electroacoustic Music Festival,Camp Concert Hall,,Richmond,VA,,"Ellery Trafford, percussion",,,,
N,S,10/22/10,10,22,2010,Shifts,2010,Richmond Symphony Orchestra Readings,Camp Concert Hall,,Richmond,VA,,The Richmond Symphony Orchestra,Steven Smith,,,
Y,,9/22/10,9,22,2010,The Spark of Opposites,2009,12 Nights of Computer Music and Art,Harold Golen Gallery,,Miami,FL,,"Madeleine Shapiro, cello",,madeleineshapiro.jpg,,
N,,9/17/10,9,17,2010,Doppelganger,2010,Threshold Electroacoustic Music Festival,Bryan Recital Hall,,Bowling Green,OH,,"Ellery Trafford, percussion",,ellery.jpg,,
Y,,6/14/10,6,14,2010,the resonance after...,2008,Accent 10 Student Concert,Watson Recital Hall,,Cincinnati,OH,,Accent10 Festival Ensemble,,,,
N,,4/25/10,4,25,2010,Omaggio a Sciarrino,2010,Dal Niente Readings,BGSU Choral Hall,,Bowling Green,OH,,dal niente,,,,
Y,S,3/25/10,3,25,2010,The Spark of Opposites,2009,New York City Electroacoustic Music Festival,Elebash Hall,,New York City,NY,,"Madeleine Shapiro, cello",,madeleineshapiro.jpg,,
Y,,2/13/10,2,13,2010,The Spark of Opposites,2009,Ball State University New Music Festival,Sursa Performance Hall,,Muncie,IN,,"Jennifer Psujek, cello",,,,
N,,2/5/10,2,5,2010,Maelstrom,2009,Student Composers' Forum,Bryan Recital Hall,,Bowling Green,OH,,"Benjamin Taylor, trumpet",,,,
N,,2/1/10,2,1,2010,the resonance after...,2008,Austin Peay State University,MMC Concert Hall,,Clarksville,TN,,Gateway Chamber Ensemble,Gregory Wolynec,gateway.jpg,,
,,2009,,,,,,,,,,,,,,,,
N,,12/6/09,12,6,2009,The Spark of Opposites,2009,Student Composers' Forum,Bryan Recital Hall,,Bowling Green,OH,,"Heather Stebbins, cello",,heather.jpg,,
N,,12/4/09,12,4,2009,Maelstrom,2009,Arts X Festival,Wankelman Gallery,,Bowling Green,OH,,"Benjamin Taylor, trumpet",,,,
N,,11/6/09,11,6,2009,The Spark of Opposites,2009,Third Practice Electroacoustic Music Festival,Camp Concert Hall,,Richmond,VA,,"Heather Stebbins, cello",,heather.jpg,,
N,,10/14/09,10,14,2009,Emergence,2009,Student Composers' Forum,Bryan Recital Hall,,Bowling Green,OH,,BGSU Trombone Choir,,,,
N,,3/1/09,3,1,2009,The Spark of Opposites,2009,Heather Stebbins' Senior Recital,Camp Concert Hall,,Richmond,VA,,"Heather Stebbins, cello",,heather.jpg,,
N,,3/1/09,3,1,2009,the resonance after...,2008,Imagine Dance Concert,Alice Jepson Theatre,,Richmond,VA,,eighth blackbird,,,,
N,,2/28/09,2,28,2009,the resonance after...,2008,Imagine Dance Concert,Alice Jepson Theatre,,Richmond,VA,,eighth blackbird,,,,
N,S,2/27/09,2,27,2009,the resonance after...,2008,Imagine Dance Concert,Alice Jepson Theatre,,Richmond,VA,,eighth blackbird,,,,
N,,2/26/09,2,26,2009,the resonance after...,2008,Imagine Dance Concert,Alice Jepson Theatre,,Richmond,VA,,eighth blackbird,,,,
,,2008,,,,,,,,,,,,,,,,
N,,11/7/08,11,7,2008,the resonance after...,2008,Third Practice Electroacoustic Music Festival,Camp Concert Hall,,Richmond,VA,,eighth blackbird,,,,
,,2007,,,,,,,,,,,,,,,,
E,,2/1/07,2,1,2007,Pulses,2007,eighth blackbird Readings,Camp Concert Hall,,Richmond,VA,,eighth blackbird,,,,
